BC Sale Price,Wall Material,Roof Material,Basement,Central Air Conditioning,Age,Bedrooms,Building Square Feet,Full Baths,Garage Size,Half Baths,Land Acre,Tract Median Income
1.9432038165752936,Masonry,Shingle + Asphalt,Slab,Central A/C,33,3,2.532,3,1.5,1,0.030257117,83.806
1.964421596651759,Masonry,Shingle + Asphalt,Full,Central A/C,14,5,3.376,5,2.0,2,0.071740129,119.432
1.931645399856174,Masonry,Shingle + Asphalt,Crawl,Central A/C,55,3,1.566,2,0.0,1,0.025275482,142.583
1.947477426856111,Masonry,Tar + Gravel,Slab,Central A/C,17,3,4.008,3,2.5,1,0.036088154,158.375
1.9422649730810375,Masonry,Tar + Gravel,Slab,Central A/C,17,3,2.953,3,2.0,1,0.026836547,158.375
1.9365957375051759,Masonry,Shingle + Asphalt,Slab,Central A/C,33,3,2.349,3,1.5,1,0.027869605,83.806
1.921913119055697,Masonry,Tar + Gravel,Full,Central A/C,33,3,1.456,3,1.0,0,0.030371901,132.222
1.9705713267696643,Masonry,Tar + Gravel,Full,Central A/C,24,5,6.897,4,4.0,1,0.131680441,112.788
1.9326564970298525,Masonry,Tar + Gravel,Full,Central A/C,48,3,1.254,2,0.0,1,0.029201102,112.788
1.9045452080193304,Frame + Masonry,Tar + Gravel,Partial,Central A/C,49,2,0.859,1,0.0,1,0.017355372,142.583
1.960889429673283,Masonry,Shingle + Asphalt,Full,Central A/C,18,6,3.738,4,2.0,1,0.071166208,138.934
1.9596726571504093,Masonry,Tar + Gravel,Full,Central A/C,3,5,3.22,4,2.0,2,0.057392103,148.616
1.9382786600151631,Masonry,Tar + Gravel,Slab,Central A/C,24,3,1.965,3,1.5,0,0.020661157,121.318
1.932193649637919,Masonry,Tar + Gravel,Partial,No Central A/C,51,4,1.518,2,0.0,0,0.027157943,112.788
1.9730320055014703,Masonry,Tar + Gravel,Slab,Central A/C,13,5,5.683,6,2.0,0,0.032093664,77.267
1.9500779423700683,Masonry,Tar + Gravel,Full,Central A/C,3,5,4.392,3,2.0,1,0.071418733,142.583
1.9257730380974794,Masonry,Tar + Gravel,Slab,Central A/C,47,4,1.602,2,0.0,0,0.026767677,142.583
1.9215535459447264,Masonry,Shingle + Asphalt,Full,Central A/C,23,2,1.824,2,2.0,1,0.090449954,36.927
1.9299430555895942,Masonry,Shingle + Asphalt,Full,Central A/C,21,2,1.44,2,1.0,0,0.031083563,122.479
1.928088253470338,Masonry,Shingle + Asphalt,Slab,Central A/C,26,3,1.869,3,1.0,0,0.024517906,122.479
1.9114385114459904,Frame + Masonry,Tar + Gravel,Full,Central A/C,45,3,1.6,2,0.0,0,0.026124885,109.191
1.9462493753553223,Masonry,Tar + Gravel,Slab,Central A/C,17,3,2.953,3,2.0,1,0.036685032,158.375
1.9303689376177209,Masonry,Tar + Gravel,Slab,Central A/C,23,4,2.641,2,2.0,2,0.023829201,36.927
1.9536261104239832,Masonry,Shingle + Asphalt,Full,Central A/C,25,4,4.353,4,2.0,1,0.071166208,138.934
1.9688411523575122,Masonry,Tar + Gravel,Full,Central A/C,31,4,6.339,4,3.5,1,0.143480257,132.222
1.9196780671097502,Masonry,Tar + Gravel,Slab,Central A/C,24,3,1.965,3,1.5,0,0.024265381,121.318
1.9578362978644217,Masonry,Shingle + Asphalt,Full,Central A/C,9,5,3.076,3,2.0,0,0.068319559,132.222
